plateifu,issue,expected_size_px,band_shapes,stale_bands,missing_bands
11016-3702,mixed_band_shapes,196,"{'u': (128, 128), 'g': (128, 128), 'r': (196, 196), 'i': (196, 196), 'z': (128, 128)}","u,g,z",
11016-6104,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11016-6104,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11018-3701,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11018-3701,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11020-6103,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11020-6103,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11022-3701,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11022-3701,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11025-1901,stale_bands,196,"{'u': (196, 196), 'g': (128, 128), 'r': (196, 196), 'i': (196, 196), 'z': (196, 196)}",g,
11025-1901,mixed_band_shapes,196,"{'u': (196, 196), 'g': (128, 128), 'r': (196, 196), 'i': (196, 196), 'z': (196, 196)}",g,
11025-3702,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (196, 196), 'i': (196, 196), 'z': (128, 128)}","u,g,z",
11025-3702,mixed_band_shapes,196,"{'u': (128, 128), 'g': (128, 128), 'r': (196, 196), 'i': (196, 196), 'z': (128, 128)}","u,g,z",
11025-6104,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (196, 196), 'i': (196, 196), 'z': (128, 128)}","u,g,z",
11025-6104,mixed_band_shapes,196,"{'u': (128, 128), 'g': (128, 128), 'r': (196, 196), 'i': (196, 196), 'z': (128, 128)}","u,g,z",
11742-12702,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11742-12702,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11742-1902,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11742-1902,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11742-3702,stale_bands,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11742-3702,mixed_band_shapes,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11745-1901,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11745-1901,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11746-3702,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11746-3702,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11747-12702,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11747-12702,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11747-6103,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11747-6103,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11749-12702,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11749-12702,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11749-12704,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11749-12704,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11751-9102,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11751-9102,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11754-9102,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11754-9102,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11755-9102,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11755-9102,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11758-12704,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11758-12704,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11759-9102,stale_bands,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11759-9102,mixed_band_shapes,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11761-12702,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11761-12702,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11824-12703,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11824-12703,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11826-1901,stale_bands,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (196, 196)}","r,i",
11826-1901,mixed_band_shapes,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (196, 196)}","r,i",
11826-3702,stale_bands,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,r,i,z",
11826-3702,mixed_band_shapes,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,r,i,z",
11827-3702,stale_bands,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11827-3702,mixed_band_shapes,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11827-6104,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11827-6104,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11828-3704,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11828-3704,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11828-6102,stale_bands,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,r,i,z",
11828-6102,mixed_band_shapes,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,r,i,z",
11831-12703,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11831-12703,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11832-6103,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11832-6103,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11833-12701,stale_bands,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,r,i,z",
11833-12701,mixed_band_shapes,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,r,i,z",
11833-12704,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11833-12704,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11833-3704,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11833-3704,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11835-12701,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11835-12701,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11835-12702,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11835-12702,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11835-9102,stale_bands,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11835-9102,mixed_band_shapes,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11836-6104,stale_bands,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (196, 196)}","r,i",
11836-6104,mixed_band_shapes,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (196, 196)}","r,i",
11842-12705,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
11843-12705,missing_bands,196,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
11865-12705,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11865-12705,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11865-6103,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11865-6103,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11866-3704,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11866-3704,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11867-12701,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11867-12701,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11867-1901,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11867-1901,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11867-6101,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11867-6101,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11871-6101,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11871-6101,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11872-3704,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11872-3704,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11939-3704,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11939-3704,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11939-6102,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11939-6102,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11939-6104,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11939-6104,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11940-12705,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11940-12705,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11941-12703,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11941-12703,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11943-12705,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11943-12705,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11946-6102,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11946-6102,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11947-3704,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11947-3704,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11947-6101,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11947-6101,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11947-6102,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11947-6102,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11947-6103,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11947-6103,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11947-6104,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11947-6104,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11948-12704,stale_bands,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (196, 196)}","r,i",
11948-12704,mixed_band_shapes,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (196, 196)}","r,i",
11949-12702,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11949-12702,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11952-1901,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11952-1901,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11954-1902,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11954-1902,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11956-12704,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11956-12704,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11956-9102,stale_bands,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (196, 196)}","u,r,i",
11956-9102,mixed_band_shapes,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (196, 196)}","u,r,i",
11962-1902,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11962-1902,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11962-3702,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11962-3702,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11963-3703,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11963-3703,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11968-1901,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11968-1901,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11969-12701,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11969-12701,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11969-6103,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11969-6103,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11975-6102,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11975-6102,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11977-12701,stale_bands,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (196, 196)}","u,r,i",
11977-12701,mixed_band_shapes,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (196, 196)}","u,r,i",
11977-1901,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11977-1901,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11977-9101,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11977-9101,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11978-3702,stale_bands,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11978-3702,mixed_band_shapes,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11978-6104,stale_bands,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11978-6104,mixed_band_shapes,196,"{'u': (196, 196), 'g': (196, 196), 'r': (128, 128), 'i': (196, 196), 'z': (196, 196)}",r,
11979-12701,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11979-12701,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11980-12701,stale_bands,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,r,i,z",
11980-12701,mixed_band_shapes,196,"{'u': (128, 128), 'g': (196, 196), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,r,i,z",
11981-1901,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11981-1901,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11982-12701,stale_bands,196,"{'u': (196, 196), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","g,r,i,z",
11982-12701,mixed_band_shapes,196,"{'u': (196, 196), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","g,r,i,z",
11982-12702,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11982-12702,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11982-3701,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11982-3701,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11983-9102,stale_bands,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11983-9102,size_mismatch_metadata,196,"{'u': (128, 128), 'g': (128, 128), 'r': (128, 128), 'i': (128, 128), 'z': (128, 128)}","u,g,r,i,z",
11986-12703,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
11986-12704,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
11986-12705,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
11986-1902,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
11986-3703,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
11986-3704,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
11986-6102,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
11986-6104,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
11986-9102,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
11987-12701,missing_bands,,"{'u': None, 'g': None, 'r': None, 'i': None, 'z': None}",,"u,g,r,i,z"
